d,请求量,错误量,错误率万分比,200ms占比,department
2023-02-21,1588918,446,2.8069415791123267,21.921584373768816,人脉
2023-05-15,7894800,28,0.03546638293560318,82.62185235851446,社区
2023-02-22,7932218,39,0.04916657610771666,81.53718165587482,社区
2023-03-04,978840,153,1.5630746598013976,36.100077642924276,人脉
2023-02-18,724641,68,0.9383957021476842,73.29643230234005,平台
2023-03-07,7505741,85,0.11324664680009609,83.40343744874757,社区
2023-03-02,1661407,367,2.2089710709055637,33.367862299845854,人脉
2023-03-01,8072590,41,0.05078915193265111,83.01773036906371,社区
2023-05-12,1445189,148,1.024087506893562,36.80418270551464,人脉
2023-02-27,1516810,321,2.116283516063317,21.899908360308807,人脉
2023-05-13,5983469,7,0.011698899083458107,82.49839683300775,社区
2023-02-24,7905050,84,0.10626118746876996,81.69267746567068,社区
2023-05-14,646278,8,0.1237857392639081,71.31714215863761,平台
2023-02-25,716691,7,0.09767110233001391,73.67289389709093,平台
2023-02-28,1238810,121,0.9767438105924233,74.34578345347552,平台
2023-02-19,5325114,23,0.04319156359845066,81.67316230225306,社区
2023-03-06,1160535,52,0.44806920945943035,74.08203974890891,平台
2023-05-16,1152760,92,0.7980845969672785,72.37647038412159,平台
2023-02-23,1188601,66,0.5552746464120424,74.44449398915195,平台
2023-04-14,7711879,30,0.03890102528838951,81.98671166910165,社区
2023-03-27,7890694,43,0.054494572974189595,83.06578610195757,社区
2023-04-15,902325,95,1.0528357299199291,37.15978167511706,人脉
2023-03-24,1380753,753,5.453545999900054,34.34604161642234,人脉
2023-04-29,511554,22,0.43006212442870156,72.22091900366335,平台
2023-03-10,1126280,40,0.35515147210285186,72.23505700181127,平台
2023-04-17,7550550,47,0.06224712107065048,82.02630271966943,社区
2023-04-07,7642858,68,0.08897195263865952,81.57015346876784,社区
2023-04-20,1424080,416,2.9211842031346555,36.2520364024493,人脉
2023-05-04,984749,3,0.030464615856426357,70.8146949121045,平台
2023-04-06,1490918,359,2.407912440523221,37.69214671765986,人脉
2023-03-23,1237080,67,0.5415979564781582,73.08460245093285,平台
2023-04-23,7339589,25,0.03406185278221982,82.67665941512529,社区
2023-04-01,5935654,7,0.011793140233578305,82.00747550312063,社区
2023-05-10,1128048,67,0.5939463568926145,73.19067982922712,平台
2023-04-22,932906,81,0.8682546794639545,36.89074783525886,人脉
2023-04-04,1506397,365,2.4230000458046583,36.895121272811885,人脉
2023-03-17,1110721,79,0.7112497197766136,72.3393183346673,平台
2023-04-12,8207425,61,0.07432294538177321,82.1341407323247,社区
2023-03-29,8782752,26,0.029603477361082268,82.90645118978652,社区
2023-04-27,1028041,51,0.49608916375903295,73.38277364424181,平台
2023-03-12,700015,58,0.8285536738498461,70.39820575273387,平台
2023-04-09,908110,93,1.0241050093050401,38.20021803526004,人脉
2023-03-30,1585617,434,2.737104862019012,36.126000162712685,人脉
2023-04-25,1428014,126,0.8823442907422476,36.64767992470662,人脉
2023-03-14,1605411,593,3.693758171583476,36.34004002713324,人脉
2023-04-11,1190808,228,1.9146663441965455,73.42040026603784,平台
2023-03-28,1215488,56,0.46072030328559394,73.26670440185342,平台
2023-04-28,6891923,33,0.047882136814355006,83.45286214021834,社区
2023-03-13,7182599,54,0.07518169954914648,81.46439749734044,社区
2023-05-08,1422230,309,2.1726443683511105,37.07937534716607,人脉
2023-04-24,1123892,84,0.7474027753556391,72.5719197218238,平台
2023-04-02,650196,10,0.15379977729792246,71.4835218918603,平台
2023-03-19,903880,306,3.3854051422755234,36.38591405938841,人脉
2023-05-09,7014272,180,0.2566196463439114,82.02456363254804,社区
2023-03-16,7769500,65,0.08366046721153228,80.72613424287277,社区
2023-04-18,1149932,63,0.5478584820667657,73.33555375448287,平台
2023-05-06,1299234,456,3.509760366492872,36.64489999492008,人脉
2023-04-08,671538,19,0.28293261140843856,71.38106853223496,平台
2023-03-21,1538982,329,2.1377767901119054,34.68279680983923,人脉
2023-05-03,4304719,22,0.05110670406128716,83.0813114630711,社区
2023-03-22,8429928,58,0.0688024856202805,83.66364457679828,社区
2023-04-13,1192583,37,0.31025094270168196,74.34417562551202,平台
2023-03-26,670365,11,0.1640897123208998,70.68462703154252,平台
2023-05-01,577155,51,0.8836447748005302,38.062738779010836,人脉
2023-04-30,4016758,7,0.01742698962695786,82.80777681901672,社区
2023-03-11,5530408,20,0.03616369714494844,80.99905106458692,社区
2023-03-08,1553210,492,3.1676334816283696,36.288460671770075,人脉
2023-02-19,912899,376,4.118746980772243,21.971324319557805,人脉
2023-03-05,701054,64,0.9129111309542489,72.75430993903466,平台
2023-02-20,1176544,220,1.8698833192808768,73.3376737291593,平台
2023-05-11,1138754,95,0.8342451486449224,74.36575414883285,平台
2023-02-26,672698,9,0.13378960543958804,73.32294729581476,平台
2023-03-03,1119854,127,1.13407640638869,73.91472459802796,平台
2023-03-01,1659621,306,1.8437944566861952,25.635973514434923,人脉
2023-03-02,8056650,35,0.04344237369129849,81.65884083334885,社区
2023-05-13,913335,253,2.77006793783223,37.500260036021835,人脉
2023-02-24,1430869,332,2.3202683124730497,21.199355077229292,人脉
2023-05-12,8706380,55,0.06317206462387352,83.67037735545658,社区
2023-02-27,7796973,57,0.07310529355430627,82.73736487223952,社区
2023-05-15,1455875,146,1.00283334764317,37.14412295011591,人脉
2023-02-22,1564289,328,2.0967992487321716,20.936412644978006,人脉
2023-02-21,7851251,56,0.0713262128544865,83.21703127310539,社区
2023-03-07,1616910,498,3.079948791212869,36.35718747487491,人脉
2023-03-04,5625095,38,0.0675544146365528,81.01335177450336,社区
